,deltaI,deltaR,E_0,mstar,alpha
OLS_sp,-14.906706920118765,-1.2937836041209696,-3.5662444879924067,-3.7489553243161655,-19.37283557733294
OLS_pi,0.3364400193026921,0.533944816990081,0.6696103791735911,0.45602159726069535,0.0238450008284391
DT_sp,0.2348666280489624,0.33354317759505425,0.5921942908705966,0.6063196991870993,0.10629240307275323
DT_pi,0.6470774095768962,0.6428659248637407,0.55856348422978,0.7488741910741697,-0.07170010810678162
RF_sp,0.606278099204129,0.6854774061072131,0.8686119696510906,0.8896630273995754,0.5957336742343076
RF_pi,0.7954897959925458,0.7746158710699965,0.8377902530657115,0.9112475605398924,0.4072849039850599
IRF_sp,0.7425120881684903,0.7388815009573554,0.98295126771875,0.9529319172166584,0.6213756477330679
IRF_pi,0.9311920950817093,0.8853925442086711,0.9827314191604679,0.9553381116800761,0.44532294588821075
AB_sp,0.7152049230798889,0.7179500433228341,0.9898870716211117,0.9611934067775739,0.5993289330671967
AB_pi,0.9313481311132963,0.8817446152981114,0.9794607199999151,0.9509220572380291,0.3550533719313024
GB_sp,0.5861185923642314,0.5636349427439136,0.972848640088463,0.9027687447086226,0.24942193382611066
GB_pi,0.8916334877863422,0.7919080991979627,0.9648180770791825,0.9337651439273603,0.06840592816500646
