,deltaI,deltaR
OLS_sp,-193.3304888002734,-1158.3049297183218
OLS_pi,0.7799748411319453,0.687260073722105
DT_sp,0.9987577266607571,0.9994291056518658
DT_pi,0.9976012874005703,0.9987557545569629
RF_sp,0.9998284930163756,0.9999282985169318
RF_pi,0.9986853561553896,0.9993173885835939
IRF_sp,0.9999396302390927,0.999973893640535
IRF_pi,0.9986816417013525,0.9992048206219556
AB_sp,0.9999080970439921,0.9999694074462104
AB_pi,0.9986145337319388,0.9991281518676683
GB_sp,0.9979580958678578,0.998159221965531
GB_pi,0.9965047768666535,0.997117346808316
