,deltaI,deltaR,alpha
OLS_sp,-0.26582001675727485,0.19836662791175141,0.9479463262787726
OLS_pi,0.772154769569111,-1.028084726334411,0.6617685426453072
DT_sp,0.9555438929130089,0.9685108389702314,0.9856950301179876
DT_pi,0.9702054575403621,0.9775425169511291,0.964568603848153
RF_sp,0.9941365990432016,0.9967578894995498,0.9941380593052493
RF_pi,0.9827290789973533,0.9871068788439147,0.9770029286802947
IRF_sp,0.9990922970931486,0.9993602343511594,0.9947532930660546
IRF_pi,0.9894548563720494,0.9934554988736221,0.9774078491519835
AB_sp,0.9989223479502481,0.9992228058016731,0.993795408739308
AB_pi,0.9883562853109471,0.9925700985449599,0.9719775318647008
GB_sp,0.9954829121001345,0.9962771954924231,0.9897540295439088
GB_pi,0.9815451199988696,0.9882202334860707,0.9646395883566814
