,deltaI,deltaR,mstar,alpha
OLS_sp,-69.64587160544839,-20.503855497630394,-0.9144370970850586,-110.14001570874423
OLS_pi,0.6374403947508118,0.5526343275276662,0.8626954609838009,0.1698940041307938
DT_sp,0.4729051648600442,0.5411272542633696,0.9047894493983728,0.7688092634782097
DT_pi,0.5227367991616306,0.5291945330956493,0.9530075953626831,0.7188197793180044
RF_sp,0.7487237781066397,0.7533456529769178,0.9720929160259815,0.9067044352223872
RF_pi,0.7311012637897575,0.6996408684041179,0.9746303168592153,0.8372481269043547
IRF_sp,0.8348412380554832,0.8310246458998231,0.9847263336204298,0.91273227692228
IRF_pi,0.9765868186384715,0.9474948598141953,0.9803453926325497,0.8390217817336114
AB_sp,0.8298509201635482,0.8274389569580091,0.9847939200961817,0.9099908655725397
AB_pi,0.9748301627196897,0.9490910136003526,0.9807758714186763,0.8159271123544433
GB_sp,0.7195762672648268,0.7100268201031424,0.9763992888586418,0.8102026664054846
GB_pi,0.956769974514359,0.9190280364866653,0.9714301138192897,0.7492161242109034
