,deltaI,deltaR,E_0,mstar,alpha
OLS_sp,-14.906706920118765,-1.2937836041209696,-3.5662444879924067,-3.7489553243161655,-19.37283557733294
OLS_pi,0.3364400193026921,0.533944816990081,0.6696103791735911,0.45602159726069535,0.0238450008284391
OLS_both,0.3288467036967897,0.499920013015527,0.7745654004890097,0.7031563740995376,0.06721918640781344
DT_sp,0.2348666280489624,0.33354317759505425,0.5921942908705966,0.6063196991870993,0.10629240307275323
DT_pi,0.6470774095768962,0.6428659248637407,0.55856348422978,0.7488741910741697,-0.07170010810678162
DT_both,0.3736709138067271,0.4854210181203681,0.5511619988765983,0.5625872658699763,0.03897266023935608
RF_sp,0.606278099204129,0.6854774061072131,0.8686119696510906,0.8896630273995754,0.5957336742343076
RF_pi,0.7954897959925458,0.7746158710699965,0.8377902530657115,0.9112475605398924,0.4072849039850599
RF_both,0.6827421185120326,0.7143835548821853,0.8829498028380112,0.8886171536991802,0.5194981801355192
IRF_sp,0.7425120881684903,0.7388815009573554,0.98295126771875,0.9529319172166584,0.6213756477330679
IRF_pi,0.930651748467393,0.8857525144626487,0.9828877565466987,0.9551419515452266,0.4506604305703227
IRF_both,0.8875828965276584,0.8153654804906276,0.9830779508366025,0.9547108870404394,0.644878782537399
AB_sp,0.7152049230798889,0.7179500433228341,0.9898870716211117,0.9611934067775739,0.5993289330671967
AB_pi,0.9313481311132963,0.8817446152981114,0.9794607199999151,0.9509220572380291,0.3550533719313024
AB_both,0.8712793995423979,0.7979490982703576,0.9873413326873497,0.9578134454895084,0.5879338742184008
GB_sp,0.5861185923642314,0.5636349427439136,0.972848640088463,0.9027687447086226,0.24942193382611066
GB_pi,0.8916334877863422,0.7919080991979627,0.9648180770791825,0.9337651439273603,0.06840592816500646
GB_both,0.8022680522600188,0.6739317786271075,0.9753808450468421,0.9238169788700475,0.35551485676444783
