,deltaI,deltaR,E_0,mstar,alpha
OLS_sp,-11.655102703401699,-2.2092643849497557,-8.858668124370672,-2.83388189776421,-10.501235107761625
OLS_pi,0.3364400193026921,0.533944816990081,0.6696103791735911,0.45602159726069535,0.0238450008284391
OLS_both,0.3330830345501722,0.49973437691051437,0.7530000314899833,0.6858521262395327,0.08249742564418394
DT_sp,0.24048842623310618,0.3741178107308979,0.5965344921109824,0.619506112693855,0.11563041690026121
DT_pi,0.6470774095768962,0.6428659248637407,0.55856348422978,0.7488741910741697,-0.07170010810678162
DT_both,0.4076786319026301,0.46803927679596025,0.5390133295224833,0.611760178931205,0.04080048651928769
RF_sp,0.6088125141573884,0.6961289015844634,0.8546493942062756,0.8915519506058771,0.5560713587698426
RF_pi,0.7954897959925458,0.7746158710699965,0.8377902530657115,0.9112475605398924,0.4072849039850599
RF_both,0.6863274076138988,0.7190704947358695,0.8699294135902936,0.890088134031587,0.5029544459475657
IRF_sp,0.7324595033344109,0.7435380039572337,0.9638661706214514,0.9483848468511525,0.5823815873031638
IRF_pi,0.930651748467393,0.8857525144626487,0.9828877565466987,0.9551419515452266,0.4506604305703227
IRF_both,0.8968398901266911,0.820636828312217,0.9811248156937308,0.9541646904254497,0.6246825827866793
AB_sp,0.717348106751908,0.7163431163992304,0.9771054308655354,0.9569426088823184,0.5511547605289482
AB_pi,0.9313481311132963,0.8817446152981114,0.9794607199999151,0.9509220572380291,0.3550533719313024
AB_both,0.88464459316893,0.7989762989727061,0.9879003259154004,0.9544153766634331,0.6029391612850178
GB_sp,0.5561950727491438,0.5652453883902906,0.9337338364940129,0.91545342030193,0.2100498090987769
GB_pi,0.8916334877863422,0.7919080991979627,0.9648180770791825,0.9337651439273603,0.06840592816500646
GB_both,0.8375930107588788,0.6791361336396011,0.9669730984781982,0.9177078557444623,0.3063465774095665
