,deltaI,deltaR,E_0,mstar,alpha
OLS_sp,-11.655102703401699,-2.2092643849497557,-8.858668124370672,-2.83388189776421,-10.501235107761625
OLS_pi,0.33478634770151605,0.5349023537380775,0.6564589755270251,0.45409231277632056,0.028506569238670565
OLS_both,0.32505391836158604,0.500539588514237,0.7575309715122736,0.6869720140358614,0.08258079961581621
DT_sp,0.24048842623310618,0.3741178107308979,0.5965344921109824,0.619506112693855,0.11563041690026121
DT_pi,0.6550850334940368,0.6389827956058849,0.5524532844400506,0.7273403463555224,-0.04123689298333799
DT_both,0.4019207127689419,0.47635589411779033,0.5537278052097541,0.6228317688186269,0.03643688761442776
RF_sp,0.6088125141573884,0.6961289015844634,0.8546493942062756,0.8915519506058771,0.5560713587698426
RF_pi,0.7956617177360379,0.7776861073891358,0.8458372160178056,0.911190682880014,0.41288739042944844
RF_both,0.6837775748219517,0.718038722942139,0.8678707909827487,0.8903160740053304,0.500599435195748
IRF_sp,0.7324595033344109,0.7435380039572337,0.9638661706214514,0.9483848468511525,0.5823815873031638
IRF_pi,0.9319311456343004,0.8887552106954276,0.9824325089846251,0.9549448211248116,0.46359828926879676
IRF_both,0.8951455992789288,0.8190502929762793,0.9808454941534669,0.9543812001232456,0.6247671106697731
AB_sp,0.717348106751908,0.7163431163992304,0.9771054308655354,0.9569426088823184,0.5511547605289482
AB_pi,0.9296225268155057,0.8759412477958233,0.978361372583991,0.951708123194517,0.3674971773946062
AB_both,0.876380425557801,0.7999622867063766,0.9901255528937725,0.9548801559034149,0.5893635394320086
GB_sp,0.5561950727491438,0.5652453883902906,0.9337338364940129,0.91545342030193,0.2100498090987769
GB_pi,0.8800859710263771,0.8068204183269239,0.9684393441012799,0.9338849602707805,0.09192060663732982
GB_both,0.8372245803769799,0.6761040283240171,0.9680783146226758,0.9173495472534533,0.3080181721167753
