,deltaI,deltaR
OLS_sp,-5666.825131458515,-789.6908903719188
OLS_pi,0.788349314505873,0.5348542383881476
OLS_both,0.8371679925430029,-0.25149404144220866
DT_sp,0.9988598493831053,0.9994396224398691
DT_pi,0.9978971168893068,0.9985740643364875
DT_both,0.9987617435771293,0.9994426042240927
RF_sp,0.9998272112728921,0.9999413722223001
RF_pi,0.9987982040287119,0.9991903809582333
RF_both,0.9998082459329913,0.9999164479054619
IRF_sp,0.9999427371677655,0.9999641280001437
IRF_pi,0.998796672216175,0.9992400234223012
IRF_both,0.9999563363411504,0.9999598939886163
AB_sp,0.9998514080035282,0.9999629893534256
AB_pi,0.99862183837785,0.9991835871295598
AB_both,0.9999211917037438,0.9999559038013036
GB_sp,0.997924476607714,0.9981568991188777
GB_pi,0.9966781600511984,0.9971522345658145
GB_both,0.9980094631610035,0.9980924730332443
