,deltaI,deltaR,alpha
OLS_sp,-18.541041864901196,-13.77309014494596,0.6229933515965456
OLS_pi,0.7405134775453543,0.3306233532692756,0.5874683772339895
OLS_both,0.8329627657377949,0.9096955074662656,0.9643901477161072
DT_sp,0.9555947216691656,0.9726501474329582,0.9872232258602134
DT_pi,0.9707401960527227,0.9766409044646913,0.9661306439586831
DT_both,0.9585730781611619,0.9731487943566981,0.9806021533780047
RF_sp,0.9935356975676937,0.9967148517101533,0.9942316017927242
RF_pi,0.9856328628301628,0.9834448549308259,0.975909248413942
RF_both,0.9935443626806519,0.9959560529116739,0.9917000106989676
IRF_sp,0.997815769578935,0.9987495815550004,0.9942019929641117
IRF_pi,0.9920877152430593,0.9890679333329492,0.9758667805963387
IRF_both,0.9972472730870715,0.9971067551208592,0.9928580246644273
AB_sp,0.9971888222712426,0.9984201580250486,0.9956074624953283
AB_pi,0.9909655242846503,0.9877716201664587,0.969975715583627
AB_both,0.9968270217751679,0.9978211301142084,0.9953350755335604
GB_sp,0.9913884699722435,0.9945525767253652,0.9870630141264208
GB_pi,0.9851887316791644,0.9833333643341655,0.9661242033202279
GB_both,0.9918423172854174,0.9924044511789564,0.9849639288271775
